word	value
قلب	-249.09988734394435
urllink	-140.64612707095
عاصوف	-86.14309977234724
تطبيق	-64.17621245889532
سن	-56.81725005367084
بدل	-53.843224225853675
قصيم	-51.336557814058324
أخ	-47.35624344212858
احمر	-46.95372634973151
افخم	-42.58303029857628
ابشر	-42.10873013346253
نجران	-41.58466277120938
منشن	-39.70824058159049
أدعم	-38.94319895524242
عتيبي	-36.126404618971016
شمري	-35.81901798763035
لون	-34.73715680767568
جازان	-34.582833044375576
بشر	-34.554602274141665
بكاء	-32.395017588894426
صام	-30.394954718718267
عالي	-29.919395197056918
عام	-29.882177333574287
فاتح	-29.51668018827573
سلم	-28.75330315139837
صيام	-28.539849884581955
وجه	-27.245732440249597
حربي	-26.445230870286554
معلم	-26.273838482520983
اتحاد	-25.88933267030943
وجد	-23.92696965845703
|	-23.81226031400967
حب	-23.56501265781861
أهلي	-23.345716468949654
يارب	-23.14080930913421
رياض	-22.4571325382565
مطيري	-22.147912379274196
قحطاني	-21.606455113884607
دوسري	-21.58079833492347
مسابقة	-21.520037555413982
مجروح	-21.318613075579183
مسلسل	-20.41036978159203
دوري	-20.41036978159203
كبير	-20.35108988004522
يوم	-20.194501480378072
أزرق	-19.497460882183915
مملكه	-18.72049135328254
مطير	-18.712444399043953
عاشوراء	-18.372693059765208
موسى	-18.002666544195563
طيب	-17.79717475800301
نجاح	-17.55484293267641
ترجم	-17.308718905965275
نبي	-17.184661157157944
لاعب	-17.061399502319464
عبدالله	-16.98927609785884
قبيل	-16.880142224950315
مدرسه	-16.821870204189697
صباح	-16.232022081523784
أصفر	-16.21564257110262
بريد	-15.905040799757899
توفيق	-15.891543018784278
هلال	-15.844213364032827
جامع	-15.53148189393608
شخص	-15.513117801359474
سعاده	-15.437158627689886
نادي	-15.344926307169732
فريق	-15.30954369166131
شكر	-15.195491694738177
دراسي	-14.969281720474328
ايدي	-14.851815458614881
مدينه	-14.703234367602132
إبريق	-14.501410078022346
عين	-14.492779809413145
عاجل	-14.439851320295906
قمر	-14.439851320295906
ممتاز	-14.33365478523014
اللهم	-14.136666371802077
كف	-14.06161952097472
جهد	-13.881074332626866
حلو	-13.640445264802874
زهراني	-13.639253630436441
شعر	-13.639253630436441
ياباني	-13.56568258705369
أفضل	-13.380242199202543
نقل	-13.238524058098879
دائم	-13.14437616554397
ارحم	-13.104558248368152
دوار	-13.104558248368152
اسود	-13.097826738359291
جهيمان	-12.84491258403896
عربيه	-12.841412215668297
اخضر	-12.839641391233604
بيان	-12.718065909556083
رقم	-12.715235395888758
عظيم	-12.661881319450998
عمر	-12.660726414338972
جميل	-12.646271819205728
طول	-12.646271819205728
«	-12.640797587522203
خاص	-12.438775416964202
حديث	-12.37728082403197
طريق	-12.188214726001446
أستاذ	-12.094167921524434
رحم	-11.726863112550225
هات	-11.714086574463002
مشعر	-11.714086574463002
نجدي	-11.48066782910608
حلق	-11.456718944440619
»	-11.251189189720149
جديد	-11.045565878651672
رائع	-11.027429757654414
عنزي	-11.027429757654414
يد	-11.02009611472882
مدرب	-10.940766022240116
ا	-10.940766022240116
…	-10.852270275086013
رحمن	-10.788638619384157
انجليزيه	-10.758626459232488
نجي	-10.758626459232488
اشعري	-10.758626459232488
اسمائ	-10.758626459232488
احبك	-10.758626459232488
نخل	-10.758626459232488
شمر	-10.499473750846693
أحب	-10.308947660123927
مناسب	-10.123627880119448
اهلي	-10.123627880119448
معني	-10.085931048891352
مبروك	-10.059585267107947
ﷺ	-10.059585267107947
تعليم	-9.975816361523666
موسم	-9.968934751217079
أحمد	-9.88247091261053
دمام	-9.864729721580368
مقدم	-9.822983195950995
صغير	-9.763418458472756
نازحه	-9.673230228326055
ضيف	-9.658872014066901
مدير	-9.494406135670014
خواتي	-9.355169460033984
صوم	-9.355169460033984
موسي	-9.355169460033984
مبتدئ	-9.355169460033984
ببجي	-9.355169460033984
د	-9.342981300816946
مطوي	-9.342981300816946
قوة	-9.270028494179812
شاعر	-9.223963403447106
أنا	-9.220323329164302
قران	-9.110499170204506
