word	value
urllink	-6.676673561006532
قلب	-6.15586635282518
وجه	-2.462941902106868
تطبيق	-1.6736901459396616
بشر	-1.3909344900577123
لون	-1.312657857111896
احمر	-1.3044411469161004
بدل	-1.276841902652954
قصيم	-1.273421455464598
ابشر	-1.2278549893607034
يوم	-1.1301168295325006
وجد	-1.116199374022778
مملكه	-1.0805795899126163
فاتح	-1.0217249874416692
أدعم	-1.018619199824648
نجران	-0.968806797040947
عربيه	-0.8980780587407389
فرح	-0.8538874084559281
عام	-0.8369826545517391
عين	-0.8201160853662578
عتيبي	-0.7846147904786507
اللهم	-0.7643277741048135
عالي	-0.7612614828953107
شمري	-0.7609863197314939
حب	-0.756976049807986
سلم	-0.7518651272292113
افخم	-0.7513148009015778
بكاء	-0.749309665939824
منشن	-0.7490345027760071
طيب	-0.6829453535419766
مجروح	-0.6778344309632016
يد	-0.6772051118205318
كبير	-0.675554132837631
مطيري	-0.6647424649449297
دمعة	-0.66285450751692
جازان	-0.6582162301395525
نبي	-0.6522008252542911
يارب	-0.6516504989266575
شخص	-0.6393840223998357
قبيل	-0.6368285611104484
شكر	-0.6240117582559931
معلم	-0.6029782452057417
عمر	-0.5995183016098675
مبتسم	-0.5843817042223234
صام	-0.5839103707097263
اتحاد	-0.579349774458585
رياض	-0.5747891782074437
حربي	-0.5722337169180562
جديد	-0.5570971195305122
طريق	-0.55568180730391
ابن	-0.5541480058547533
صيام	-0.5036286028021565
أفضل	-0.5033139432308216
قال	-0.5009533406014041
رحم	-0.49761319791689496
عبدالله	-0.48994681404873275
أحب	-0.4776803375219108
قحطاني	-0.4660431801377591
خاص	-0.464313208339822
قوة	-0.45888762618971224
ممتاز	-0.45464168950990586
ل	-0.45184924977540897
صباح	-0.45094607915773305
|	-0.4446950075161729
كثير	-0.4403700780213302
عاشوراء	-0.4389942622022463
أهلي	-0.43643880091285886
عظيم	-0.4358489781777071
جنوبيه	-0.429283246964812
دوسري	-0.42704244524675955
دوري	-0.4259022961839742
مسلسل	-0.4259022961839742
رب	-0.41929706856356075
إقرار	-0.41788175633695873
جامع	-0.41194534426673357
ايدي	-0.4108051952039482
أزرق	-0.4093898829773461
هلال	-0.40482928672620483
أنا	-0.4030993149282677
مو	-0.40191966945796426
موسى	-0.39999352731124677
لاعب	-0.39885337824846145
مدينه	-0.39543293106010546
